# time,angle,x,y,speed_tangential,accel_tangential,normal_force,curvature,dfdx,d2fdx2
0.0000,0.9252,0.0000,0.6083,0.0000,0.0000,0.0000,0.0000,-1.3275,-3.9591
1.0000,0.9252,0.0000,0.6083,0.0000,5.5968,1.0000,0.8624,-1.3275,-3.9591
2.0000,0.9252,0.0000,0.6083,0.0056,5.5968,1.0000,0.8624,-1.3275,-3.9591
3.0000,0.9252,0.0000,0.6083,0.0112,5.5968,1.0000,0.8624,-1.3275,-3.9586
4.0000,0.9252,0.0000,0.6082,0.0168,5.5968,1.0000,0.8623,-1.3275,-3.9577
5.0000,0.9252,0.0000,0.6082,0.0224,5.5969,1.0000,0.8620,-1.3276,-3.9563
6.0000,0.9252,0.0000,0.6082,0.0280,5.5969,1.0000,0.8617,-1.3276,-3.9545
7.0000,0.9252,0.0001,0.6082,0.0336,5.5970,1.0001,0.8612,-1.3277,-3.9521
8.0000,0.9253,0.0001,0.6082,0.0392,5.5970,1.0001,0.8606,-1.3278,-3.9494
9.0000,0.9253,0.0001,0.6081,0.0448,5.5972,1.0001,0.8599,-1.3279,-3.9461
10.0000,0.9253,0.0001,0.6081,0.0504,5.5973,1.0002,0.8591,-1.3280,-3.9424
11.0000,0.9254,0.0002,0.6081,0.0560,5.5974,1.0002,0.8582,-1.3281,-3.9383
12.0000,0.9254,0.0002,0.6080,0.0616,5.5976,1.0003,0.8571,-1.3282,-3.9336
13.0000,0.9255,0.0002,0.6080,0.0672,5.5978,1.0003,0.8559,-1.3284,-3.9286
14.0000,0.9255,0.0003,0.6079,0.0728,5.5980,1.0004,0.8547,-1.3285,-3.9230
15.0000,0.9256,0.0003,0.6079,0.0784,5.5982,1.0005,0.8533,-1.3287,-3.9170
16.0000,0.9256,0.0004,0.6078,0.0840,5.5984,1.0005,0.8517,-1.3289,-3.9105
17.0000,0.9257,0.0004,0.6077,0.0896,5.5987,1.0006,0.8501,-1.3291,-3.9036
18.0000,0.9258,0.0005,0.6077,0.0952,5.5990,1.0007,0.8484,-1.3293,-3.8962
19.0000,0.9258,0.0005,0.6076,0.1008,5.5993,1.0008,0.8465,-1.3295,-3.8884
20.0000,0.9259,0.0006,0.6075,0.1064,5.5996,1.0009,0.8445,-1.3298,-3.8801
21.0000,0.9260,0.0006,0.6074,0.1120,5.5999,1.0010,0.8424,-1.3300,-3.8713
22.0000,0.9261,0.0007,0.6073,0.1176,5.6003,1.0011,0.8402,-1.3303,-3.8620
23.0000,0.9262,0.0008,0.6072,0.1232,5.6007,1.0012,0.8379,-1.3305,-3.8524
24.0000,0.9263,0.0009,0.6071,0.1288,5.6010,1.0013,0.8355,-1.3308,-3.8422
25.0000,0.9264,0.0009,0.6070,0.1344,5.6015,1.0014,0.8329,-1.3311,-3.8316
26.0000,0.9265,0.0010,0.6069,0.1400,5.6019,1.0015,0.8303,-1.3314,-3.8205
27.0000,0.9266,0.0011,0.6068,0.1456,5.6023,1.0017,0.8275,-1.3317,-3.8090
28.0000,0.9267,0.0012,0.6067,0.1512,5.6028,1.0018,0.8246,-1.3321,-3.7970
29.0000,0.9268,0.0013,0.6066,0.1568,5.6033,1.0019,0.8216,-1.3324,-3.7846
30.0000,0.9270,0.0014,0.6064,0.1624,5.6038,1.0021,0.8186,-1.3328,-3.7717
31.0000,0.9271,0.0015,0.6063,0.1680,5.6043,1.0022,0.8153,-1.3331,-3.7583
32.0000,0.9272,0.0016,0.6062,0.1736,5.6049,1.0023,0.8120,-1.3335,-3.7445
33.0000,0.9274,0.0017,0.6060,0.1792,5.6054,1.0025,0.8086,-1.3339,-3.7303
34.0000,0.9275,0.0018,0.6059,0.1848,5.6060,1.0026,0.8051,-1.3343,-3.7156
35.0000,0.9276,0.0019,0.6057,0.1904,5.6066,1.0028,0.8014,-1.3347,-3.7004
36.0000,0.9278,0.0020,0.6056,0.1960,5.6072,1.0029,0.7977,-1.3351,-3.6848
37.0000,0.9279,0.0021,0.6054,0.2016,5.6078,1.0031,0.7939,-1.3356,-3.6687
38.0000,0.9281,0.0022,0.6053,0.2072,5.6084,1.0033,0.7899,-1.3360,-3.6522
39.0000,0.9283,0.0024,0.6051,0.2128,5.6091,1.0034,0.7858,-1.3365,-3.6353
40.0000,0.9284,0.0025,0.6049,0.2184,5.6098,1.0036,0.7817,-1.3369,-3.6178
41.0000,0.9286,0.0026,0.6048,0.2240,5.6104,1.0038,0.7774,-1.3374,-3.6000
42.0000,0.9288,0.0028,0.6046,0.2297,5.6111,1.0040,0.7731,-1.3379,-3.5817
43.0000,0.9289,0.0029,0.6044,0.2353,5.6118,1.0041,0.7686,-1.3384,-3.5630
44.0000,0.9291,0.0030,0.6042,0.2409,5.6126,1.0043,0.7641,-1.3389,-3.5438
45.0000,0.9293,0.0032,0.6040,0.2465,5.6133,1.0045,0.7594,-1.3394,-3.5242
46.0000,0.9295,0.0033,0.6038,0.2521,5.6140,1.0047,0.7546,-1.3399,-3.5041
47.0000,0.9296,0.0035,0.6036,0.2577,5.6148,1.0049,0.7498,-1.3404,-3.4836
48.0000,0.9298,0.0036,0.6034,0.2633,5.6156,1.0050,0.7448,-1.3409,-3.4627
49.0000,0.9300,0.0038,0.6032,0.2689,5.6164,1.0052,0.7398,-1.3415,-3.4414
50.0000,0.9302,0.0039,0.6030,0.2746,5.6172,1.0054,0.7347,-1.3420,-3.4196
51.0000,0.9304,0.0041,0.6028,0.2802,5.6180,1.0056,0.7294,-1.3426,-3.3974
52.0000,0.9306,0.0043,0.6025,0.2858,5.6188,1.0058,0.7241,-1.3432,-3.3747
53.0000,0.9308,0.0045,0.6023,0.2914,5.6196,1.0060,0.7187,-1.3437,-3.3517
54.0000,0.9310,0.0046,0.6021,0.2970,5.6205,1.0062,0.7132,-1.3443,-3.3282
55.0000,0.9312,0.0048,0.6018,0.3027,5.6213,1.0064,0.7076,-1.3449,-3.3043
