# time,angle,x,y,speed_tangential,accel_tangential,normal_force,curvature,dfdx,d2fdx2
0.0000,1.0550,0.0000,0.6533,0.0000,0.0000,0.0000,0.0000,-1.7637,17.1086
1.0000,1.0550,0.0000,0.6533,0.0000,6.0955,1.0000,2.0529,-1.7637,17.1086
2.0000,1.0550,0.0000,0.6533,0.0061,6.0955,1.0000,2.0529,-1.7637,17.1086
3.0000,1.0550,0.0000,0.6533,0.0122,6.0955,1.0000,2.0529,-1.7636,17.1080
4.0000,1.0550,0.0000,0.6532,0.0183,6.0955,1.0000,2.0529,-1.7635,17.1068
5.0000,1.0550,0.0000,0.6532,0.0244,6.0955,1.0001,2.0531,-1.7634,17.1050
6.0000,1.0549,0.0000,0.6532,0.0305,6.0954,1.0001,2.0533,-1.7632,17.1026
7.0000,1.0549,0.0000,0.6532,0.0366,6.0952,1.0002,2.0535,-1.7629,17.0996
8.0000,1.0548,0.0001,0.6532,0.0427,6.0951,1.0003,2.0538,-1.7626,17.0960
9.0000,1.0547,0.0001,0.6531,0.0488,6.0949,1.0004,2.0542,-1.7622,17.0917
10.0000,1.0546,0.0001,0.6531,0.0549,6.0946,1.0005,2.0547,-1.7618,17.0869
11.0000,1.0545,0.0001,0.6530,0.0610,6.0943,1.0006,2.0552,-1.7614,17.0814
12.0000,1.0544,0.0002,0.6530,0.0670,6.0939,1.0008,2.0557,-1.7609,17.0753
13.0000,1.0543,0.0002,0.6529,0.0731,6.0936,1.0009,2.0564,-1.7603,17.0686
14.0000,1.0542,0.0002,0.6529,0.0792,6.0931,1.0011,2.0570,-1.7597,17.0612
15.0000,1.0540,0.0003,0.6528,0.0853,6.0926,1.0013,2.0578,-1.7590,17.0532
16.0000,1.0539,0.0003,0.6527,0.0914,6.0921,1.0015,2.0586,-1.7583,17.0446
17.0000,1.0537,0.0004,0.6526,0.0975,6.0916,1.0018,2.0595,-1.7575,17.0353
18.0000,1.0535,0.0004,0.6525,0.1036,6.0910,1.0020,2.0604,-1.7567,17.0253
19.0000,1.0533,0.0005,0.6525,0.1097,6.0903,1.0023,2.0613,-1.7558,17.0146
20.0000,1.0531,0.0005,0.6524,0.1158,6.0896,1.0025,2.0624,-1.7549,17.0033
21.0000,1.0529,0.0006,0.6523,0.1219,6.0889,1.0028,2.0635,-1.7539,16.9913
22.0000,1.0526,0.0006,0.6522,0.1280,6.0881,1.0031,2.0646,-1.7529,16.9786
23.0000,1.0524,0.0007,0.6520,0.1341,6.0873,1.0034,2.0658,-1.7518,16.9652
24.0000,1.0521,0.0008,0.6519,0.1401,6.0864,1.0038,2.0670,-1.7507,16.9510
25.0000,1.0518,0.0008,0.6518,0.1462,6.0855,1.0041,2.0683,-1.7495,16.9362
26.0000,1.0515,0.0009,0.6517,0.1523,6.0845,1.0045,2.0696,-1.7483,16.9205
27.0000,1.0512,0.0010,0.6515,0.1584,6.0835,1.0049,2.0710,-1.7470,16.9042
28.0000,1.0509,0.0011,0.6514,0.1645,6.0824,1.0053,2.0724,-1.7457,16.8870
29.0000,1.0506,0.0011,0.6513,0.1706,6.0813,1.0057,2.0739,-1.7443,16.8691
30.0000,1.0502,0.0012,0.6511,0.1766,6.0802,1.0062,2.0754,-1.7429,16.8504
31.0000,1.0499,0.0013,0.6510,0.1827,6.0790,1.0066,2.0769,-1.7414,16.8309
32.0000,1.0495,0.0014,0.6508,0.1888,6.0778,1.0071,2.0785,-1.7399,16.8106
33.0000,1.0491,0.0015,0.6506,0.1949,6.0765,1.0076,2.0801,-1.7383,16.7894
34.0000,1.0488,0.0016,0.6505,0.2010,6.0752,1.0081,2.0817,-1.7367,16.7674
35.0000,1.0484,0.0017,0.6503,0.2070,6.0738,1.0086,2.0834,-1.7350,16.7445
36.0000,1.0479,0.0018,0.6501,0.2131,6.0724,1.0091,2.0851,-1.7333,16.7208
37.0000,1.0475,0.0019,0.6499,0.2192,6.0709,1.0097,2.0868,-1.7315,16.6962
38.0000,1.0471,0.0020,0.6497,0.2252,6.0694,1.0102,2.0885,-1.7297,16.6706
39.0000,1.0466,0.0021,0.6495,0.2313,6.0679,1.0108,2.0903,-1.7278,16.6441
40.0000,1.0461,0.0022,0.6493,0.2374,6.0663,1.0114,2.0921,-1.7259,16.6167
41.0000,1.0456,0.0024,0.6491,0.2435,6.0646,1.0120,2.0939,-1.7239,16.5883
42.0000,1.0452,0.0025,0.6489,0.2495,6.0629,1.0127,2.0957,-1.7219,16.5590
43.0000,1.0446,0.0026,0.6487,0.2556,6.0612,1.0133,2.0975,-1.7198,16.5286
44.0000,1.0441,0.0027,0.6485,0.2616,6.0594,1.0140,2.0993,-1.7177,16.4973
45.0000,1.0436,0.0029,0.6483,0.2677,6.0575,1.0147,2.1011,-1.7155,16.4649
46.0000,1.0430,0.0030,0.6480,0.2738,6.0557,1.0154,2.1029,-1.7133,16.4315
47.0000,1.0425,0.0031,0.6478,0.2798,6.0537,1.0161,2.1047,-1.7110,16.3970
