Time	Angle	Accel	Speed	X    	Y    
0	1.055	0.000	0.000	0.000	0.653
1	1.055	6.096	0.000	0.000	0.653
2	1.055	6.096	0.006	0.000	0.653
3	1.055	6.096	0.012	0.000	0.653
4	1.055	6.096	0.018	0.000	0.653
5	1.055	6.096	0.024	0.000	0.653
6	1.055	6.096	0.030	0.000	0.653
7	1.055	6.096	0.037	0.000	0.653
8	1.055	6.096	0.043	0.000	0.653
9	1.055	6.096	0.049	0.000	0.653
10	1.055	6.095	0.055	0.000	0.653
11	1.055	6.095	0.061	0.000	0.653
12	1.055	6.095	0.067	0.000	0.653
13	1.054	6.094	0.073	0.000	0.653
14	1.054	6.094	0.079	0.000	0.653
15	1.054	6.093	0.085	0.000	0.653
16	1.054	6.093	0.091	0.000	0.653
17	1.054	6.092	0.098	0.000	0.653
18	1.054	6.092	0.104	0.000	0.653
19	1.053	6.091	0.110	0.000	0.652
20	1.053	6.090	0.116	0.001	0.652
21	1.053	6.090	0.122	0.001	0.652
22	1.053	6.089	0.128	0.001	0.652
23	1.053	6.088	0.134	0.001	0.652
24	1.052	6.087	0.140	0.001	0.652
25	1.052	6.086	0.146	0.001	0.652
26	1.052	6.085	0.152	0.001	0.652
27	1.051	6.084	0.158	0.001	0.652
28	1.051	6.083	0.164	0.001	0.651
29	1.051	6.082	0.171	0.001	0.651
30	1.050	6.081	0.177	0.001	0.651
31	1.050	6.080	0.183	0.001	0.651
32	1.050	6.078	0.189	0.001	0.651
33	1.049	6.077	0.195	0.001	0.651
34	1.049	6.076	0.201	0.002	0.650
35	1.049	6.074	0.207	0.002	0.650
36	1.048	6.073	0.213	0.002	0.650
37	1.048	6.072	0.219	0.002	0.650
38	1.047	6.070	0.225	0.002	0.650
39	1.047	6.069	0.231	0.002	0.650
40	1.046	6.067	0.237	0.002	0.649
41	1.046	6.065	0.243	0.002	0.649
42	1.045	6.064	0.250	0.002	0.649
43	1.045	6.062	0.256	0.003	0.649
44	1.044	6.060	0.262	0.003	0.648
45	1.044	6.058	0.268	0.003	0.648
46	1.043	6.056	0.274	0.003	0.648
47	1.043	6.054	0.280	0.003	0.648
48	1.042	6.052	0.286	0.003	0.648
49	1.041	6.050	0.292	0.003	0.647
50	1.041	6.048	0.298	0.004	0.647
